year,sd_nm,sd_cd,sgg_nm_kr,sgg_cd,sgg_nm_en,tot,men,women
2015,gyeongnam,38,함안군,38320,haman,"64,877","32,356","32,521"
2015,gyeongnam,38,창녕군,38330,changnyeong,"59,241","29,151","30,090"
2015,gyeongnam,38,고성군,38340,goseong,"51,666","25,781","25,885"
2015,gyeongnam,38,남해군,38350,namhae,"43,280","20,556","22,724"
2015,gyeongnam,38,하동군,38360,hadong,"44,261","21,616","22,645"
2015,gyeongnam,38,산청군,38370,sancheong,"33,397","16,048","17,349"
2015,gyeongnam,38,함양군,38380,hamyang,"37,898","18,081","19,817"
2015,gyeongnam,38,거창군,38390,geochang,"59,941","29,309","30,632"
2015,gyeongnam,38,합천군,38400,hapcheon,"44,146","20,800","23,346"
2015,jeju,39,제주시,39010,jeju,"441,287","220,964","220,323"
2015,jeju,39,서귀포시,39020,"149,186","74,911","74,275",
